time,tem,heating rate,,,
min,K,K/min,,,
2.633333333,324.73,123.3151899,99.90069513,0,Training
2.65,324.88,122.5962264,99.90069513,0,Test
2.666666667,325.04,121.89,99.90069513,0,Training
2.683333333,325.21,121.1962733,99.90069513,0,Validation
2.7,325.36,120.5037037,99.90069513,0,Test
2.716666667,325.52,119.8233129,99.90069513,0,Training
2.733333333,325.69,119.154878,99.90069513,0,Training
2.75,325.83,118.4836364,99.90069513,0,Training
2.766666667,326.02,117.8385542,99.90069513,0,Training
2.783333333,326.15,117.1796407,99.90069513,0,Training
2.8,326.32,116.5428571,99.90069513,0,Training
2.816666667,326.49,115.9136095,99.90069513,0,Training
2.833333333,326.62,115.2776471,99.90069513,0,Training
2.85,326.83,114.677193,99.90069513,0,Training
2.866666667,326.95,114.0523256,99.90069513,0,Training
2.883333333,327.14,113.4589595,99.90069513,0,Training
2.9,327.3,112.862069,99.90069513,0,Training
2.916666667,327.43,112.2617143,99.90069513,0,Training
2.933333333,327.64,111.6954545,99.90069513,0,Training
2.95,327.76,111.1050847,99.90069513,0,Test
2.966666667,327.95,110.5449438,99.90069513,0,Training
2.983333333,328.1,109.9776536,99.90069513,0,Validation
3,328.26,109.42,99.90069513,0,Training
3.016666667,328.44,108.8751381,99.90069513,0,Test
3.033333333,328.59,108.3263736,99.90069513,0,Training
3.05,328.76,107.7901639,99.90069513,0,Training
3.066666667,328.92,107.2565217,99.90069513,0,Training
3.083333333,329.08,106.7286486,99.90069513,0,Training
3.1,329.26,106.2129032,99.90069513,0,Training
3.116666667,329.42,105.6962567,99.90069513,0,Validation
3.133333333,329.57,105.1819149,99.90069513,0,Training
3.15,329.75,104.6825397,99.90069513,0,Training
3.166666667,329.9,104.1789474,99.90069513,0,Validation
3.183333333,330.08,103.6900524,99.90069513,0,Training
3.2,330.24,103.2,99.90069513,0,Training
3.216666667,330.38,102.7088083,99.90069513,0,Training
3.233333333,330.59,102.2443299,99.90069513,0,Test
3.25,330.71,101.7569231,99.90069513,0,Training
3.266666667,330.91,101.2989796,99.90069513,0,Training
3.283333333,331.07,100.8335025,99.90069513,0,Training
3.3,331.21,100.3666667,99.90069513,0,Training
3.316666667,331.41,99.92261307,99.90069513,0,Training
3.333333333,331.53,99.459,99.90069513,0,Training
3.35,331.73,99.0238806,99.90069513,0,Validation
3.366666667,331.87,98.57524752,99.90069513,0,Training
3.383333333,332.03,98.13694581,99.90069513,0,Training
3.4,332.22,97.71176471,99.90069513,0,Training
3.416666667,332.36,97.27609756,99.90069513,0,Test
3.433333333,332.55,96.8592233,99.90069513,0,Training
3.45,332.69,96.43188406,99.90069513,0,Training
3.466666667,332.86,96.01730769,99.90069513,0,Training
